date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:01:47	19620/19620	---M-Z	200	added ('OK')	text/html	etag:%22dabb673befed18a1ed1705a83eee2b25-ssl-df%22	https://www.rammaheshwari.com/	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/index.html	(from )
03:01:47	24/24	---M--	200	added ('OK')	text/plain	etag:%22eba58d8841627116bc0a732b3f57aa6b-ssl%22	https://www.rammaheshwari.com/robots.txt		(from )
03:01:48	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22c8c913c6b59b51c46ff782585119d5dd-ssl%22	https://www.rammaheshwari.com/favicon.ico	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/favicon.ico	(from https://www.rammaheshwari.com/)
03:01:49	13482/13482	---MCZ	200	added ('OK')	text/css	etag:%224f75e73e49a4c059ecbb888df761a371-ssl-df%22	https://www.rammaheshwari.com/css/style.css	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/css/style.css	(from https://www.rammaheshwari.com/)
03:01:49	464371/464371	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2010:41:32%20GMT	https://i.ibb.co/C8Wnkrt/pretty-snap-2022-3-29-16-11.png	C:/My%20Web%20Sites/portfolio-fantastic/i.ibb.co/C8Wnkrt/pretty-snap-2022-3-29-16-11.png	(from https://www.rammaheshwari.com/)
03:01:50	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2001%20Jun%202024%2022:01:19%20GMT	https://i.postimg.cc/TwY74D31/profile-pic-8.png	C:/My%20Web%20Sites/portfolio-fantastic/i.postimg.cc/TwY74D31/profile-pic-8.3.delayed	(from https://www.rammaheshwari.com/)
03:01:51	338/338	---M--	200	added ('OK')	image/svg+xml	etag:%22f45d5cdb71438f16d4dbded072349f7e-ssl%22	https://www.rammaheshwari.com/assets/svg/ham-menu.svg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/svg/ham-menu.svg	(from https://www.rammaheshwari.com/)
03:01:51	291/291	---M--	200	added ('OK')	image/svg+xml	etag:%22bd964d6430e405e43179fdc917bd7527-ssl%22	https://www.rammaheshwari.com/assets/svg/ham-menu-close.svg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/svg/ham-menu-close.svg	(from https://www.rammaheshwari.com/)
03:01:52	662/662	---M--	200	added ('OK')	image/svg+xml	etag:%22dc9387cca830a0e155ee3e0e848f51e9-ssl%22	https://www.rammaheshwari.com/assets/svg/linkedin-dark.svg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/svg/linkedin-dark.svg	(from https://www.rammaheshwari.com/)
03:01:52	682/682	---M--	200	added ('OK')	image/svg+xml	etag:%22958f0ed7f173f6055926aaf3fb876f9f-ssl%22	https://www.rammaheshwari.com/assets/svg/twitter-dark.svg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/svg/twitter-dark.svg	(from https://www.rammaheshwari.com/)
03:01:53	461/461	---M--	200	added ('OK')	image/svg+xml	etag:%22181e31bfc55d4a3b6ca2acc452595aa0-ssl%22	https://www.rammaheshwari.com/assets/svg/yt-dark.svg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/svg/yt-dark.svg	(from https://www.rammaheshwari.com/)
03:01:54	902/902	---M--	200	added ('OK')	image/svg+xml	etag:%22725f9e6839f7d870b50f76fdd6378d49-ssl%22	https://www.rammaheshwari.com/assets/svg/github-dark.svg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/svg/github-dark.svg	(from https://www.rammaheshwari.com/)
03:01:54	575/575	---M--	200	added ('OK')	image/svg+xml	etag:%22c36ea9422803193a2dd55c7ade9ffed3-ssl%22	https://www.rammaheshwari.com/assets/svg/book-dark.svg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/svg/book-dark.svg	(from https://www.rammaheshwari.com/)
03:01:55	180301/180301	---M--	200	added ('OK')	image/jpeg	etag:%2268a03d4e655f1a74f05f5f202c1dd207-ssl%22	https://www.rammaheshwari.com/assets/jpeg/dopefolio.jpeg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/jpeg/dopefolio.jpg	(from https://www.rammaheshwari.com/)
03:01:56	8904/8904	---MCZ	200	added ('OK')	text/html	etag:%221f9e7b69f1dfe04955d3e545d15fc2c4-ssl-df%22	https://www.rammaheshwari.com/project-1	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/project-1.html	(from https://www.rammaheshwari.com/)
03:01:56	143195/143195	---M--	200	added ('OK')	image/jpeg	etag:%2272a56131a8766893e34d50f8022a1087-ssl%22	https://www.rammaheshwari.com/assets/jpeg/wilsonport.jpeg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/jpeg/wilsonport.jpg	(from https://www.rammaheshwari.com/)
03:01:57	8124/8124	---MCZ	200	added ('OK')	text/html	etag:%229b3fb19406cb15cf8587857fcd1edbdb-ssl-df%22	https://www.rammaheshwari.com/project-2	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/project-2.html	(from https://www.rammaheshwari.com/)
03:01:57	141879/141879	---M--	200	added ('OK')	image/jpeg	etag:%22d5138080717b9799afa2d04183b0a038-ssl%22	https://www.rammaheshwari.com/assets/jpeg/boreal-coffee-clone.jpeg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/jpeg/boreal-coffee-clone.jpg	(from https://www.rammaheshwari.com/)
03:01:58	8168/8168	---MCZ	200	added ('OK')	text/html	etag:%221d09dd620d2c37c86a8fa7b5571f361c-ssl-df%22	https://www.rammaheshwari.com/project-3	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/project-3.html	(from https://www.rammaheshwari.com/)
03:01:58	100446/100446	---M--	200	added ('OK')	image/jpeg	etag:%228a86ed535c267ce4cef564afd109b09f-ssl%22	https://www.rammaheshwari.com/assets/jpeg/crown-template.jpeg	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/assets/jpeg/crown-template.jpg	(from https://www.rammaheshwari.com/)
03:01:59	8183/8183	---MCZ	200	added ('OK')	text/html	etag:%22237f0e3d7c2c56867e26de2c83cf3d0c-ssl-df%22	https://www.rammaheshwari.com/project-4	C:/My%20Web%20Sites/portfolio-fantastic/www.rammaheshwari.com/project-4.html	(from https://www.rammaheshwari.com/)
